evaluator,CONDITION,response,SET,mean,sd,sem
gpt-5.4,direct,no,1,1.0,0.0,0.0
gpt-5.4,direct,no,2,1.0,0.0,0.0
gpt-5.4,direct,unsure,1,0.0,,
gpt-5.4,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
gpt-5.4,direct,yes,2,0.9705882352941176,0.17149858514250885,0.029411764705882353
gpt-5.4,indirect,no,1,1.0,0.0,0.0
gpt-5.4,indirect,no,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
gpt-5.4,indirect,unsure,1,0.0,0.0,0.0
gpt-5.4,indirect,yes,1,0.9705882352941176,0.17149858514250885,0.029411764705882353
gpt-5.4,indirect,yes,2,1.0,0.0,0.0
gpt-5.4-mini-2026-03-17,direct,no,1,1.0,0.0,0.0
gpt-5.4-mini-2026-03-17,direct,no,2,0.9666666666666667,0.18257418583505536,0.03333333333333333
gpt-5.4-mini-2026-03-17,direct,yes,1,0.9230769230769231,0.26995276239950855,0.04322703745761665
gpt-5.4-mini-2026-03-17,direct,yes,2,0.8888888888888888,0.3187276291558383,0.05312127152597305
gpt-5.4-mini-2026-03-17,indirect,no,1,0.8974358974358975,0.30735474060472817,0.04921614717627657
gpt-5.4-mini-2026-03-17,indirect,no,2,0.8857142857142857,0.32280285109067564,0.05456364060755606
gpt-5.4-mini-2026-03-17,indirect,unsure,2,0.0,0.0,0.0
gpt-5.4-mini-2026-03-17,indirect,yes,1,0.9696969696969697,0.17407765595569782,0.0303030303030303
gpt-5.4-mini-2026-03-17,indirect,yes,2,0.9642857142857143,0.1889822365046136,0.03571428571428571
gpt-5.4-nano-2026-03-17,direct,no,1,1.0,0.0,0.0
gpt-5.4-nano-2026-03-17,direct,no,2,0.896551724137931,0.3099340466946034,0.05755330761353656
gpt-5.4-nano-2026-03-17,direct,yes,1,0.9230769230769231,0.2699527623995086,0.043227037457616656
gpt-5.4-nano-2026-03-17,direct,yes,2,0.8108108108108109,0.3970612769556579,0.06527647182968216
gpt-5.4-nano-2026-03-17,indirect,no,1,0.8095238095238095,0.3974366179316376,0.06132580154445569
gpt-5.4-nano-2026-03-17,indirect,no,2,0.675,0.4743416490252569,0.075
gpt-5.4-nano-2026-03-17,indirect,unsure,1,0.0,,
gpt-5.4-nano-2026-03-17,indirect,unsure,2,0.0,,
gpt-5.4-nano-2026-03-17,indirect,yes,1,0.9310344827586207,0.25788071477756375,0.04788724653995956
gpt-5.4-nano-2026-03-17,indirect,yes,2,0.76,0.4358898943540673,0.08717797887081347
human,direct,no,1,1.0,0.0,0.0
human,direct,no,2,1.0,0.0,0.0
human,direct,yes,1,1.0,0.0,0.0
human,direct,yes,2,1.0,0.0,0.0
human,indirect,no,1,1.0,0.0,0.0
human,indirect,no,2,1.0,0.0,0.0
human,indirect,yes,1,1.0,0.0,0.0
human,indirect,yes,2,1.0,0.0,0.0
